date,failure,metric1,metric2,metric3,metric4,metric5
2015-01-01,0,215630672,0,0,0,6
2015-01-01,0,234318640,0,0,0,4
2015-01-01,0,89660704,0,0,0,7
2015-01-01,0,162013456,0,0,0,12
2015-01-01,0,13138392,0,0,0,9
2015-01-01,0,33224832,0,0,0,13
2015-01-01,0,18538632,0,0,0,15
2015-01-01,0,132033080,0,0,0,5
2015-01-01,0,165583552,0,0,0,13
2015-01-01,0,175031320,0,0,0,11
2015-01-01,0,214650840,0,0,0,7
2015-01-01,0,9556952,0,0,0,11
2015-01-01,0,13494176,0,0,0,9
2015-01-01,0,30720400,0,0,0,10
2015-01-01,0,184145040,0,0,0,6
2015-01-01,0,141941680,0,0,0,7
2015-01-01,0,174533488,0,0,0,9
2015-01-01,0,216100528,0,0,0,7
2015-01-01,0,65557072,0,0,0,18
2015-01-01,0,22964480,0,0,0,8
2015-01-01,0,46248000,0,0,0,8
2015-01-01,0,157461376,0,0,0,7
2015-01-01,0,144878520,0,0,0,10
2015-01-01,0,37928256,0,0,0,8
2015-01-01,0,158082880,0,0,0,6
2015-01-01,0,24431928,0,0,0,8
2015-01-01,0,39991296,0,0,0,9
2015-01-01,0,57689816,0,0,0,7
2015-01-01,0,154806368,0,0,0,7
2015-01-01,0,88734648,0,0,0,14
2015-01-01,0,168577464,0,0,0,8
2015-01-01,0,173952208,0,0,0,12
2015-01-01,0,222379808,0,0,0,12
2015-01-01,0,239303792,0,0,0,7
2015-01-01,0,145952576,0,0,0,10
2015-01-01,0,25795496,0,0,0,16
2015-01-01,0,73820080,0,0,0,5
2015-01-01,0,135597248,0,0,0,9
2015-01-01,0,155604320,0,0,0,8
2015-01-01,0,100067568,0,0,0,6
2015-01-01,0,226827456,0,0,0,6
2015-01-01,0,208528880,0,0,0,7
2015-01-01,0,181785960,0,0,0,11
2015-01-01,0,190203784,0,0,0,12
2015-01-01,0,197766920,0,0,0,6
2015-01-01,0,78556416,0,0,0,13
2015-01-01,0,196837352,0,0,0,10
2015-01-01,0,218331848,0,0,0,7
2015-01-01,0,176230480,0,0,0,6
2015-01-01,0,196112264,0,0,0,12
2015-01-01,0,142032928,0,0,0,6
2015-01-01,0,226982064,0,0,0,11
2015-01-01,0,0,0,0,0,12
2015-01-01,0,19847352,0,0,0,6
2015-01-01,0,63732264,0,0,0,12
2015-01-01,0,227213792,0,0,0,11
2015-01-01,0,186610208,0,0,0,6
2015-01-01,0,205623488,0,0,0,8
2015-01-01,0,108596032,0,0,0,11
2015-01-01,0,214266384,0,0,0,13
2015-01-01,0,217280160,0,0,0,7
2015-01-01,0,161946400,0,0,0,13
2015-01-01,0,56991888,0,0,0,6
2015-01-01,0,13780944,0,0,0,15
2015-01-01,0,129164320,0,0,0,8
2015-01-01,0,191763984,0,0,0,13
2015-01-01,0,24214144,0,0,0,13
2015-01-01,0,122177208,0,0,0,11
2015-01-01,0,37792288,0,0,0,7
2015-01-01,0,126447040,0,0,0,5
2015-01-01,0,97067752,0,0,0,6
2015-01-01,0,228491272,0,0,0,9
2015-01-01,0,56559256,0,0,0,9
2015-01-01,0,208637840,0,0,0,5
2015-01-01,0,96347832,0,0,0,11
2015-01-01,0,18959200,0,0,0,5
2015-01-01,0,14368184,0,0,0,12
2015-01-01,0,156726952,0,0,0,8
2015-01-01,0,50941304,0,0,0,18
2015-01-01,0,110766392,0,0,0,8
2015-01-01,0,98997784,0,0,0,12
2015-01-01,0,178148616,0,0,0,18
2015-01-01,0,19301992,0,0,0,9
2015-01-01,0,169807832,0,0,0,12
2015-01-01,0,111677360,0,0,0,10
2015-01-01,0,15352928,0,0,0,11
2015-01-01,0,173035368,0,0,0,10
2015-01-01,0,164894928,0,0,0,11
2015-01-01,0,229238112,0,0,0,11
2015-01-01,0,188684704,0,0,0,10
2015-01-01,0,234083448,0,0,0,7
2015-01-01,0,27121440,0,0,0,12
2015-01-01,0,192273912,0,0,0,16
2015-01-01,0,7547928,0,0,0,12
2015-01-01,0,78866488,0,0,0,14
2015-01-01,0,18149416,0,0,0,9
2015-01-01,0,33358936,0,0,0,9
2015-01-01,0,243385544,0,0,0,9
2015-01-01,0,215070840,0,0,0,9
2015-01-01,0,19012656,0,0,0,11
2015-01-01,0,158511128,0,0,0,9
2015-01-01,0,93512992,0,0,0,10
2015-01-01,0,187606560,0,0,0,13
2015-01-01,0,141049448,0,0,0,8
2015-01-01,0,208761592,0,0,0,13
2015-01-01,0,127153024,0,0,0,8
2015-01-01,0,92530096,0,0,0,6
2015-01-01,0,43727248,0,0,0,8
2015-01-01,0,26073952,0,0,0,9
2015-01-01,0,160609528,0,0,0,14
2015-01-01,0,193036136,0,0,0,2
2015-01-01,0,76618616,0,0,0,9
2015-01-01,0,188801784,0,0,0,6
2015-01-01,0,231278624,0,0,0,9
2015-01-01,0,130770768,0,0,0,12
2015-01-01,0,59739048,0,0,0,16
2015-01-01,0,114125368,0,0,0,8
