date,device,failure,Air_Temp_K,Process_Temp_K,Rotational_Speed,Torque,Tool_Wear,Pressure,Vibration,Voltage,Current
2015-01-01,M3RGW8ZX,0,299.79,308.92,1508.4,25.87,11.0,105.67,0.939,225.29,9.79
2015-01-01,P0XB2ZEW,0,299.93,307.68,1784.5,30.94,5.3,101.52,0.587,230.93,8.16
2015-01-01,P0XDS15G,0,300.02,308.31,1936.0,34.64,6.5,107.19,1.178,238.04,16.31
2015-01-01,P0XGEX5J,0,300.45,308.98,1594.3,32.21,2.7,103.23,1.346,225.69,14.23
2015-01-01,R7Q05794,0,301.43,310.15,1450.3,42.16,4.0,106.82,1.039,239.9,12.38
2015-01-01,R7Q9X9EN,0,300.51,307.41,1748.3,33.67,5.1,105.29,1.122,232.85,10.81
2015-01-01,R7QC2FT6,0,298.96,308.25,1456.6,35.17,15.1,106.67,0.876,226.6,10.81
2015-01-01,R7QEGC6X,0,296.97,305.0,1746.5,38.69,0.8,105.45,1.302,227.29,13.67
2015-01-01,R7QKEBMK,0,298.2,306.78,1773.6,33.42,15.2,101.97,0.977,228.87,12.76
2015-01-01,R7QPSKD6,0,295.74,305.0,1725.1,40.24,13.8,105.68,2.113,228.76,15.05
2015-01-01,S1F98NRQ,0,297.9,305.3,1776.8,38.99,8.5,103.09,2.38,232.48,16.17
2015-01-01,S1FC79PM,0,300.19,309.74,1790.7,45.15,12.2,102.27,1.961,230.2,18.58
2015-01-01,S1FJGSZN,0,301.09,308.63,1605.5,47.06,5.1,102.42,0.634,222.63,15.04
2015-01-01,S1FJTAK1,0,298.61,306.78,1651.0,32.94,7.8,105.41,1.313,229.79,9.16
2015-01-01,S1FPY49G,0,300.37,310.4,1670.0,37.61,9.3,105.25,1.381,231.92,10.99
2015-01-01,S1FQ63HZ,0,300.0,307.68,1694.4,46.15,9.3,102.6,0.751,233.96,15.96
2015-01-01,S1FSJMJJ,0,297.1,305.62,1700.8,31.93,11.1,102.67,1.327,227.05,12.04
2015-01-01,T2K80XY7,0,298.17,305.6,1731.4,25.09,8.8,104.18,1.103,231.17,10.75
2015-01-01,T2KA0SBN,0,298.89,307.96,1382.9,22.9,2.9,103.96,0.576,224.45,7.49
2015-01-01,T2KCW3RR,0,299.94,308.5,1463.6,38.53,36.05,107.77,1.293,229.13,5.0
2015-01-01,T2KQ9SJF,0,298.12,306.55,1528.5,40.23,2.9,104.66,1.247,219.65,16.54
2015-01-01,T2KQNEAM,0,299.39,306.27,1430.1,44.22,4.2,104.51,1.216,224.14,9.77
2015-01-01,T2KS229G,0,299.85,309.05,1730.8,33.82,2.0,107.52,1.14,229.34,8.98
2015-01-01,T2KTUCW9,0,303.18,312.84,1401.4,33.72,8.8,105.7,0.802,226.65,5.35
2015-01-01,T2KU0WH4,0,299.51,308.13,1737.8,40.46,9.2,104.77,1.636,228.92,10.5
2015-01-01,T2KYCWGQ,0,298.26,307.55,1682.2,29.73,9.7,107.11,1.854,227.94,13.52
2015-01-01,W1FAN4P3,0,297.05,305.0,1742.0,31.64,0.6,106.99,0.597,235.28,8.36
2015-01-01,W1FPN4U6,0,298.93,305.91,1624.1,40.32,7.9,105.685,0.2,227.89,16.65
2015-01-01,W1FZGGE4,0,299.07,308.88,1488.0,33.02,8.0,101.89,0.731,232.79,15.85
2015-01-02,M3RFT8YA,0,299.23,307.05,1591.0,33.6,12.8,106.46,1.384,230.8,8.41
2015-01-02,M3RGW8ZX,0,300.06,307.23,1574.0,28.49,11.2,106.4,0.2,223.98,12.43
2015-01-02,M3RHVE90,0,299.37,307.7,1729.8,22.83,8.0,107.99,0.2,230.65,8.27
2015-01-02,M3RQ3ASU,0,300.04,306.76,1893.8,38.98,14.1,100.49,1.966,232.31,12.44
2015-01-02,P0X0TSSN,0,300.61,309.26,1613.5,31.52,6.5,103.54,0.61,232.79,14.74
2015-01-02,P0X6QATK,0,299.85,307.5,1465.5,41.42,1.8,105.01,1.175,232.42,12.98
2015-01-02,P0XGEX5J,0,299.39,307.46,1585.7,32.61,3.0,103.7,1.102,238.75,10.17
2015-01-02,R7QC2FT6,0,298.13,306.99,1467.0,40.91,15.5,106.61,1.767,227.24,5.0
2015-01-02,R7QEGC6X,0,298.6,307.63,1965.2,65.66,1.0,102.93,3.871,228.45,27.89
2015-01-02,R7QSA3MX,0,301.5,310.26,1594.6,44.01,12.2,107.03,1.067,233.75,18.07
2015-01-02,R7QT0Q2R,0,299.54,306.53,1709.8,28.39,5.2,101.54,0.2,227.6,19.08
2015-01-02,R7QW7W3H,0,297.95,306.19,1545.4,37.51,12.7,106.7,2.163,230.34,9.16
2015-01-02,S1F69AZS,0,300.02,307.99,1878.5,31.92,1.2,106.12,1.014,224.95,12.71
2015-01-02,S1F98NRQ,0,299.63,309.31,1790.9,38.58,8.8,103.0,2.214,226.09,15.73
2015-01-02,S1FC79PM,0,299.11,305.29,1738.9,34.62,12.6,103.4,1.49,230.73,16.42
2015-01-02,S1FJTAK1,0,298.34,307.09,1654.5,26.64,8.2,104.11,1.384,232.38,9.75
2015-01-02,T2K1J5RP,0,297.8,305.28,1600.1,33.88,13.2,105.15,1.455,224.27,10.58
2015-01-02,T2KA0SBN,0,297.99,305.5,1301.9,21.79,3.3,101.27,0.779,225.95,7.85
2015-01-02,T2KDDTA5,0,299.07,306.91,1745.1,39.31,14.9,104.74,1.816,235.31,13.1
2015-01-02,T2KPNFVJ,0,298.83,306.5,1737.1,43.69,15.2,106.96,0.562,224.56,14.87
2015-01-02,T2KS229G,0,299.31,308.8,1482.3,52.95,2.3,110.12,2.673,236.84,19.86
2015-01-02,W1F04YDF,0,300.73,310.49,1692.0,30.39,12.8,107.15,1.011,230.11,8.17
2015-01-02,W1F5H19E,0,299.21,307.78,1650.9,36.42,4.0,105.87,1.49,232.73,13.52
2015-01-02,W1FQTER8,0,300.62,310.55,1491.2,36.28,1.6,104.99,1.378,227.72,11.49
